OrderDetailID,OrderID,ProductID,Quantity
381 ,10390 ,46 ,45 
382 ,10390 ,72 ,24 
383 ,10391 ,13 ,18 
384 ,10392 ,69 ,50 
385 ,10393 ,2 ,25 
386 ,10393 ,14 ,42 
387 ,10393 ,25 ,7 
388 ,10393 ,26 ,70 
389 ,10393 ,31 ,32 
390 ,10394 ,13 ,10 
391 ,10394 ,62 ,10 
392 ,10395 ,46 ,28 
393 ,10395 ,53 ,70 
394 ,10395 ,69 ,8 
395 ,10396 ,23 ,40 
396 ,10396 ,71 ,60 
397 ,10396 ,72 ,21 
398 ,10397 ,21 ,10 
399 ,10397 ,51 ,18 
400 ,10398 ,35 ,30 
401 ,10398 ,55 ,120 
402 ,10399 ,68 ,60 
403 ,10399 ,71 ,30 
404 ,10399 ,76 ,35 
405 ,10399 ,77 ,14 
406 ,10400 ,29 ,21 
407 ,10400 ,35 ,35 
408 ,10400 ,49 ,30 
409 ,10401 ,30 ,18 
410 ,10401 ,56 ,70 
411 ,10401 ,65 ,20 
412 ,10401 ,71 ,60 
413 ,10402 ,23 ,60 
414 ,10402 ,63 ,65 
415 ,10403 ,16 ,21 
416 ,10403 ,48 ,70 
417 ,10404 ,26 ,30 
418 ,10404 ,42 ,40 
419 ,10404 ,49 ,30 
420 ,10405 ,3 ,50 
421 ,10406 ,1 ,10 
422 ,10406 ,21 ,30 
423 ,10406 ,28 ,42 
424 ,10406 ,36 ,5 
425 ,10406 ,40 ,2 
426 ,10407 ,11 ,30 
427 ,10407 ,69 ,15 
428 ,10407 ,71 ,15 
429 ,10408 ,37 ,10 
430 ,10408 ,54 ,6 
431 ,10408 ,62 ,35 
432 ,10409 ,14 ,12 
433 ,10409 ,21 ,12 
434 ,10410 ,33 ,49 
435 ,10410 ,59 ,16 
436 ,10411 ,41 ,25 
437 ,10411 ,44 ,40 
438 ,10411 ,59 ,9 
439 ,10412 ,14 ,20 
440 ,10413 ,1 ,24 
441 ,10413 ,62 ,40 
442 ,10413 ,76 ,14 
443 ,10414 ,19 ,18 
444 ,10414 ,33 ,50 
445 ,10415 ,17 ,2 
446 ,10415 ,33 ,20 
447 ,10416 ,19 ,20 
448 ,10416 ,53 ,10 
449 ,10416 ,57 ,20 
450 ,10417 ,38 ,50 
451 ,10417 ,46 ,2 
452 ,10417 ,68 ,36 
453 ,10417 ,77 ,35 
454 ,10418 ,2 ,60 
455 ,10418 ,47 ,55 
456 ,10418 ,61 ,16 
457 ,10418 ,74 ,15 
458 ,10419 ,60 ,60 
459 ,10419 ,69 ,20 
460 ,10420 ,9 ,20 
461 ,10420 ,13 ,2 
462 ,10420 ,70 ,8 
463 ,10420 ,73 ,20 
464 ,10421 ,19 ,4 
465 ,10421 ,26 ,30 
466 ,10421 ,53 ,15 
467 ,10421 ,77 ,10 
468 ,10422 ,26 ,2 
469 ,10423 ,31 ,14 
470 ,10423 ,59 ,20 
471 ,10424 ,35 ,60 
472 ,10424 ,38 ,49 
473 ,10424 ,68 ,30 
474 ,10425 ,55 ,10 
475 ,10425 ,76 ,20 
476 ,10426 ,56 ,5 
477 ,10426 ,64 ,7 
478 ,10427 ,14 ,35 
479 ,10428 ,46 ,20 
480 ,10429 ,50 ,40 
481 ,10429 ,63 ,35 
482 ,10430 ,17 ,45 
483 ,10430 ,21 ,50 
484 ,10430 ,56 ,30 
485 ,10430 ,59 ,70 
486 ,10431 ,17 ,50 
487 ,10431 ,40 ,50 
488 ,10431 ,47 ,30 
489 ,10432 ,26 ,10 
490 ,10432 ,54 ,40 
491 ,10433 ,56 ,28 
492 ,10434 ,11 ,6 
493 ,10434 ,76 ,18 
494 ,10435 ,2 ,10 
495 ,10435 ,22 ,12 
496 ,10435 ,72 ,10 
497 ,10436 ,46 ,5 
498 ,10436 ,56 ,40 
499 ,10436 ,64 ,30 
500 ,10436 ,75 ,24 
501 ,10437 ,53 ,15 
502 ,10438 ,19 ,15 
503 ,10438 ,34 ,20 
504 ,10438 ,57 ,15 
505 ,10439 ,12 ,15 
506 ,10439 ,16 ,16 
507 ,10439 ,64 ,6 
508 ,10439 ,74 ,30 
509 ,10440 ,2 ,45 
510 ,10440 ,16 ,49 
511 ,10440 ,29 ,24 
512 ,10440 ,61 ,90 
513 ,10441 ,27 ,50 
514 ,10442 ,11 ,30 
515 ,10442 ,54 ,80 
516 ,10442 ,66 ,60 
517 ,10443 ,11 ,6 
518 ,10443 ,28 ,12 
